PA,7750
FL,4790
MO,2550
TN,2456
IN,2301
LA,2248
AZ,1804
NJ,1505
NV,1438
AB,1227
CA,1138
ID,684
IL,380
DE,371
CO,2
MT,1
NC,1
HI,1
VI,1
